Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22,LogLik,Converged,AIC,BIC,T_obs,Market,Has_Exo,Pivot,Persist_S1,Persist_S2
XRP-USD,particle,0.0032290738323133,0.0032249937794289,0.053193867273096,0.046738311560523,0.3010943103868381,0.050549922480819,0.8500300392931351,0.0999358126770306,0.079945207465253,0.7800769063323814,0.9500259824405596,0.800122764519356,-10360.164677958004,True,20744.32935591601,20815.620633063943,2810,Crypto,True,BTC-USD,0.9005799617739542,0.8600221137976344
DOGE-USD,gray,0.3374994101412418,0.1428896472163372,-0.2899756652002346,0.3866704806454617,0.4231012343363542,0.1149584219631764,0.8844601028039129,0.2384791029327654,0.1426583886926647,0.7961962547334781,0.9397231716205496,0.7458019148237524,-8743.136090671516,False,17510.272181343033,17581.563458490968,2810,Crypto,True,BTC-USD,0.9994185247670893,0.9388546434261428
DOGE-USD,plugin,-0.6670470791980535,0.6699041716719587,-0.5781127357524077,0.7548364041663602,0.3549064544652857,0.2127361466069245,0.7381040258665537,0.4377201991442311,0.3194222338344561,0.6804212704384632,0.7971573207492161,0.8755126126362885,-8872.355342261353,False,17768.710684522706,17840.00196167064,2810,Crypto,True,BTC-USD,0.9508401724734782,0.9998435042729193
DOGE-USD,quadrature,0.3266223204685398,0.1760939549770969,-0.2775845657425658,0.3775063872030872,0.4121160380541134,0.1127674741600752,0.8872104996179239,0.2246090734392549,0.1394716356127757,0.7981419100557064,0.9400307307376832,0.7510698693273529,-8741.702396451808,True,17507.404792903617,17578.696070051552,2810,Crypto,True,BTC-USD,0.999977973777999,0.9376135456684822
DOGE-USD,particle,6.245913126010838e-06,5.020754280751803e-06,0.0500042394649305,0.049990805673422,0.3000021510794528,0.0499994050154698,0.8499956361375541,0.1000003912299869,0.0800034162748105,0.7800030313088948,0.9499904317019824,0.8000010551588796,-10266.08341267674,True,20556.16682535348,20627.45810250141,2810,Crypto,True,BTC-USD,0.899995041153024,0.8600064475837053
NMC-USD,gray,0.2911930613998031,0.2977382369863981,-0.2787612755582133,0.4510733486387793,0.4738490205662659,0.0677715612346596,0.9,0.2610905748320219,0.219542841207113,0.7801315890426203,0.8731710614978058,0.747038280550466,-9025.39199706928,True,18074.78399413856,18146.075271286496,2810,Crypto,True,BTC-USD,0.9677715612346596,0.9996744302497332
NMC-USD,plugin,0.2800668952212924,0.3164519905097629,0.3635540213859365,-0.2702211594687335,0.408148065193822,0.1089873152979858,0.8907423046793537,0.2199909359785143,0.1236671258889401,0.7827918291883287,0.9486352655613371,0.7508980668764459,-9005.874464353168,False,18035.748928706336,18107.04020585427,2810,Crypto,True,BTC-USD,0.9997296199773394,0.9064589550772688
NMC-USD,quadrature,0.1892753407779044,-0.2461845532918531,-0.2545535030190411,0.9347451119268188,0.7896199449024744,0.0999725889687299,0.9,0.4749253983598078,0.354056234871742,0.3658605532886971,0.97243252498318,0.773494783528946,-8987.099298021785,True,17998.19859604357,18069.489873191505,2810,Crypto,True,BTC-USD,0.9999725889687299,0.7199167881604391
NMC-USD,particle,2.140364153930754e-06,-2.140364153930754e-06,0.0499978382322045,0.0499978382322045,0.299999871620958,0.0499999786391657,0.8500000214036415,0.0999999572355242,0.0800003510197212,0.7799996661459992,0.9500000171229132,0.7999996618224637,-10527.210363232649,True,21078.420726465298,21149.712003613236,2810,Crypto,True,BTC-USD,0.9000000000428072,0.8600000171657205
GBPUSD=X,gray,0.0002003505586644,-0.0001544607638904,0.0,0.0,0.0948044456862285,0.1728847194664346,0.8263902152832705,0.0001,0.0001,0.0001,0.7521693772278562,0.4400779496684815,-51.61222640679173,True,123.22445281358348,182.6338504368614,2810,Forex,False,,0.9992749347497051,0.0002
GBPUSD=X,plugin,-0.0014805080330568,-0.0001366361773796,0.0,0.0,0.0120281824723657,0.0904531832481898,0.9,0.0001,0.0001,0.0008908197189407,0.7643309610333555,0.4823043542005856,63.63781916482925,True,-107.2756383296585,-47.866240706380594,2810,Forex,False,,0.9904531832481898,0.0009908197189407
GBPUSD=X,quadrature,-0.0078916006781202,-0.0001973409419563,0.0,0.0,0.0001,0.1097651960271072,0.8891174914035381,0.0001,0.0001,0.0001,0.76267242016604,0.4482943882107409,-76.24618462894439,True,172.49236925788878,231.90176688116668,2810,Forex,False,,0.9988826874306453,0.0002
GBPUSD=X,particle,1.0271262231274374e-06,1.074506440906872e-06,0.0,0.0,0.1000003679681919,0.0999999232246236,0.6999997595755172,0.1999999076816298,0.2000001570142315,0.600000050834265,0.9000000730715275,0.8999998456156436,-2116.4851548255783,True,4252.970309651157,4312.379707274435,2810,Forex,False,,0.7999996828001408,0.8000002078484965
JPY=X,gray,0.0452240862381531,2.8013335869152997e-05,0.0,0.0,0.0919315359721345,0.1880749580453974,0.8118840752758438,0.0001,0.0001,0.0001,0.7804950064718219,0.4230016084917685,-64.72112363592151,False,149.44224727184303,208.85164489512096,2810,Forex,False,,0.9999590333212413,0.0002
JPY=X,plugin,-0.0001643947240249,0.0195301114255094,0.0,0.0,0.0001,0.0001,0.0001,0.0362099982822241,0.3056384128533412,0.6943535740936412,0.4975627009772845,0.7621259306090669,71.36175063775856,False,-122.72350127551712,-63.31410365223921,2810,Forex,False,,0.0002,0.9999919869469824
JPY=X,quadrature,0.0234316555542483,0.0003785602000138,0.0,0.0,0.0010092514557374,0.2141669894398786,0.7853917023090522,0.0001,0.0001,0.0001,0.7634432087532989,0.3640188118534796,-78.13760783095721,True,176.27521566191442,235.6846132851923,2810,Forex,False,,0.9995586917489307,0.0002
